y_max,y_min,y_peak_to_peak,y_mean,y_median,y_std,y_abs_mean,y_energy,y_abs_area,x_at_y_max,x_at_y_min,first_third_energy,middle_third_energy,last_third_energy,first_third_std,middle_third_std,last_third_std,label,file_path,x,y,source_dataset,instance_id,y_pred,proba_0,proba_1,proba_2,proba_3
-3.27791408211129,-4.47477298376613,1.1968589016548394,-3.927673235978835,-3.933745339864516,0.1282082880708578,3.927673235978835,61787.66070943182,785.5299962648078,980.25,979.3,20944.68547188994,19827.66314985604,21015.312087685837,0.1190445725120632,0.1114079356541083,0.1203424843228937,2,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T11-54-12.229400-Hohlrmtestk2_tr-[12970]-[16.0,-38.0,5.5]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt",16,-38,messreihe_2,messreihe_2_x16_y-38,1,0.012466387,0.37438172,0.32338235,0.28976956
-3.7148275959516126,-4.256290356353226,0.5414627604016133,-3.9848590671034527,-3.9914095626096775,0.1214314685036346,3.9848590671034527,63591.28339226441,796.9682785201014,1081.25,1149.55,21541.610117233096,20405.491745188865,21644.18152984245,0.0956403278862268,0.1102111910497697,0.1198874121283553,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T21-57-35.233770-Hohlrmtestk2_tr-[1727]-[-68.0,49.0,5.22]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",-68,49,messreihe_2,messreihe_2_x-68_y49,1,0.0016531532,0.92905194,0.031501517,0.03779334
-2.8527417534451613,-6.440910820185483,3.5881690667403214,-3.8303723365980176,-3.83708916045,0.1704924003607756,3.8303723365980176,58817.98040212009,766.0701849977129,977.55,977.05,19983.813070512908,18829.95334629217,20004.213985315015,0.2277845206412778,0.1114101841930425,0.1201100289292752,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T00-18-39.517154-Hohlrmtestk1_tr-[6735]-[-34.0,18.0,4.92]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt",-34,18,messreihe_1,messreihe_1_x-34_y18,3,0.0057575726,0.023362445,0.10162347,0.86925656
-1.1675195709596775,-11.513431604308064,10.345912033348386,-3.4552847624275853,-3.4652594613,0.360355483996431,3.4552847624275853,48287.46430610654,691.053864557442,972.45,971.95,16731.008106911173,15225.286894377325,16331.169304818042,0.5933286599225219,0.1123921529190925,0.1243937115429509,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T01-10-27.670647-Hohlrmtestk1_tr-[7427]-[-27.0,112.0,2.46]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt",-27,112,messreihe_1,messreihe_1_x-27_y112,3,0.004411804,0.0057682735,0.0019943977,0.9878256
-2.5279571463774193,-7.130662802753226,4.602705656375806,-3.7476240743674776,-3.751849222822581,0.1861279739447672,3.7476240743674776,56331.39863167937,749.5201260942408,981.4,980.85,19149.84934172971,18124.907705538935,19056.64158441072,0.2777331887675912,0.0981011964378207,0.1059236833490977,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-10T05-12-45.349374-Hohlrmtestk3_tr-[10088]-[17.0,-23.0,5.74]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt",17,-23,messreihe_3,messreihe_3_x17_y-23,3,0.009459654,0.021211414,0.028054716,0.9412743
-3.1945622962919353,-5.95867756751129,2.764115271219355,-3.8175258855733047,-3.8220529531935488,0.1554725965941489,3.8175258855733047,58405.3001368712,763.5009941775345,976.8,976.25,19815.623845756098,18697.867174495874,19891.80911661924,0.1920697487494893,0.11139824387464,0.1209310048256612,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T18-37-49.899922-Hohlrmtestk2_tr-[18420]-[57.0,90.0,6.06]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",57,90,messreihe_2,messreihe_2_x57_y90,1,0.01260919,0.6270836,0.28670096,0.07360619
-3.425131356420968,-4.6565606004806455,1.2314292440596777,-3.969548709184243,-3.973889922641935,0.1269135636616455,3.969548709184243,63109.46945291758,793.906041587838,979.95,980.55,21392.87655141896,20266.73132067881,21449.86158081982,0.1179445890518451,0.1113592762780998,0.1179158139636221,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T14-19-01.818895-Hohlrmtestk1_tr-[18108]-[55.0,16.0,7.12]-[1.0,0.0,0.0,0.0]-delta[0.003mm-0.0deg]-avg20.txt",55,16,messreihe_1,messreihe_1_x55_y16,0,0.9294426,0.06751747,0.0018176124,0.0012222808
-3.6629355983161287,-4.441365765640323,0.7784301673241942,-3.9622080412157454,-3.9681125445838705,0.1234122100357297,3.9622080412157454,62873.006864977935,792.4374620802523,981.75,980.75,21311.672915188497,20190.054478275488,21371.279471513953,0.1058225691076539,0.1111847432925064,0.1184026166174885,0,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T09-18-56.465487-Hohlrmtestk1_tr-[14043]-[28.0,-27.0,6.02]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt",28,-27,messreihe_1,messreihe_1_x28_y-27,0,0.87981856,0.11639361,0.0011913521,0.0025964759
-2.6244243394870965,-5.682275550270968,3.0578512107838716,-3.925529582081607,-3.932063190627419,0.1485289400339584,3.925529582081607,61742.805226647455,785.1022376165479,978.75,977.65,20916.884416742723,19917.73674728442,20908.18406262031,0.2003557283276727,0.0957933719306641,0.1046583355090921,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T21-00-07.846639-Hohlrmtestk3_tr-[3796]-[-54.0,-62.0,4.95]-[1.0,0.0,0.0,0.0]-delta[0.02mm-0.0deg]-avg20.txt",-54,-62,messreihe_3,messreihe_3_x-54_y-62,3,0.016074019,0.11845204,0.01767172,0.8478022
-1.7725641769612903,-10.626825610720967,8.854261433759676,-3.532036383991434,-3.536878291280645,0.3116320170284448,3.532036383991434,50302.15452303788,706.4020869370568,976.2,976.75,17305.347251624953,15948.936042597994,17047.871228814933,0.5038752699434027,0.1131135564655032,0.1259436507732591,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T14-42-46.867589-Hohlrmtestk2_tr-[15243]-[35.0,53.0,6.14]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",35,53,messreihe_2,messreihe_2_x35_y53,3,0.008461221,0.007199082,0.0017464121,0.98259324
