model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
mlp,0.7,0.65,0.8808600634473035,0.8374174463506464,0.8123933307838788,0.8884268266950247,54,4.231974921630094,110,2.010968921389397,3.1347962382445136,8.09872029250457
mlp,0.7,0.7,0.8796851133826812,0.8354871870674461,0.8105489561103836,0.8876506293527551,54,4.231974921630094,112,2.047531992687386,3.1347962382445136,8.062157221206581
mlp,0.75,0.4,0.8805075784279168,0.8494456486360048,0.8153035082114708,0.8883413434590067,42,3.2915360501567394,108,1.9744058500914077,3.369905956112853,9.396709323583181
mlp,0.75,0.45,0.8798026083891435,0.8491960616217118,0.8148074886854417,0.8879987038787475,42,3.2915360501567394,110,2.010968921389397,3.369905956112853,9.360146252285192
mlp,0.75,0.5,0.8789801433439078,0.847906827979537,0.813628192922317,0.887535843023009,42,3.2915360501567394,113,2.0658135283363803,3.369905956112853,9.305301645338208
mlp,0.75,0.55,0.8778051932792856,0.8461830615498882,0.811972826063542,0.8868651880504602,42,3.2915360501567394,115,2.1023765996343693,3.369905956112853,9.268738574040219
mlp,0.75,0.6,0.8778051932792856,0.8468025401105432,0.8124482353749173,0.8870321417280789,42,3.2915360501567394,116,2.1206581352833638,3.369905956112853,9.250457038391225
mlp,0.75,0.65,0.8763952532017389,0.8452709018141991,0.8107850463255573,0.8862739568713557,42,3.2915360501567394,117,2.1389396709323583,3.369905956112853,9.23217550274223
mlp,0.75,0.7,0.8752203031371166,0.8433406425309986,0.8090100312598236,0.8855178859304709,42,3.2915360501567394,119,2.1755027422303472,3.369905956112853,9.195612431444241
mlp,0.8,0.4,0.8711079779109387,0.8554513890603515,0.8095164757186125,0.8816001352260621,38,2.978056426332288,132,2.413162705667276,3.526645768025078,10.914076782449726
mlp,0.8,0.45,0.8704030078721654,0.8552018020460586,0.8090372823909013,0.8812655666388259,38,2.978056426332288,134,2.4497257769652654,3.526645768025078,10.877513711151737
mlp,0.8,0.5,0.8695805428269299,0.8539125684038837,0.8079358915604724,0.8808278331715005,38,2.978056426332288,137,2.5045703839122484,3.526645768025078,10.822669104204753
mlp,0.8,0.55,0.8684055927623076,0.852188801974235,0.8063709453657554,0.8801846784215731,38,2.978056426332288,139,2.5411334552102374,3.526645768025078,10.786106032906764
mlp,0.8,0.6,0.8684055927623076,0.85280828053489,0.8068411283617528,0.8803523754750573,38,2.978056426332288,140,2.5594149908592323,3.526645768025078,10.767824497257768
mlp,0.8,0.65,0.8669956526847609,0.8512766422385458,0.80525246576791,0.8796172256660176,38,2.978056426332288,141,2.577696526508227,3.526645768025078,10.749542961608775
mlp,0.8,0.7,0.8658207026201387,0.8493463829553454,0.803558287072095,0.8788864886092087,38,2.978056426332288,143,2.6142595978062158,3.526645768025078,10.712979890310786
mlp,0.85,0.4,0.8570085771354717,0.8590324445619879,0.799576433412575,0.8706996596344355,26,2.037617554858934,174,3.180987202925046,3.8401253918495297,12.870201096892139
mlp,0.85,0.45,0.8563036070966984,0.858782857547695,0.7991380021735193,0.8703816803404081,26,2.037617554858934,176,3.2175502742230346,3.8401253918495297,12.83363802559415
mlp,0.85,0.5,0.8554811420514629,0.8574936239055202,0.7981336315746344,0.869976230872412,26,2.037617554858934,179,3.272394881170018,3.8401253918495297,12.778793418647167
mlp,0.85,0.55,0.8543061919868405,0.8557698574758714,0.7966824854381025,0.8693683140805125,26,2.037617554858934,181,3.308957952468007,3.8401253918495297,12.742230347349176
mlp,0.85,0.6,0.8543061919868405,0.8563893360365264,0.7971594889544584,0.8695413172487467,26,2.037617554858934,182,3.3272394881170015,3.8401253918495297,12.723948811700184
mlp,0.85,0.65,0.8528962519092939,0.8548576977401823,0.7956765215899672,0.8688391065046465,26,2.037617554858934,183,3.345521023765996,3.8401253918495297,12.705667276051189
mlp,0.85,0.7,0.8517213018446717,0.8529274384569818,0.7940828907359508,0.8681406921573598,26,2.037617554858934,185,3.3820840950639854,3.8401253918495297,12.669104204753198
mlp,0.9,0.4,0.83632945599812,0.8619242300406571,0.7860080634610851,0.854627769678126,23,1.8025078369905956,215,3.930530164533821,3.8401253918495297,15.904936014625228
mlp,0.9,0.45,0.8356244859593467,0.8616746430263642,0.7856125982194249,0.8543265776983813,23,1.8025078369905956,217,3.96709323583181,3.8401253918495297,15.86837294332724
mlp,0.9,0.5,0.8348020209141112,0.8603854093841894,0.7847208910090384,0.8539573732987084,23,1.8025078369905956,220,4.021937842778794,3.8401253918495297,15.813528336380255
mlp,0.9,0.55,0.833627070849489,0.8586616429545406,0.7834044476204274,0.8533902667910003,23,1.8025078369905956,222,4.058500914076783,3.8401253918495297,15.776965265082266
mlp,0.9,0.6,0.833627070849489,0.8592811215151956,0.7838858258226142,0.8535676214090074,23,1.8025078369905956,223,4.076782449725777,3.8401253918495297,15.758683729433272
mlp,0.9,0.65,0.8322171307719421,0.8577494832188515,0.7825275804274654,0.8529034017450499,23,1.8025078369905956,224,4.095063985374772,3.8401253918495297,15.740402193784279
mlp,0.9,0.7,0.8310421807073199,0.855819223935651,0.7810529247632572,0.8522421303336414,23,1.8025078369905956,226,4.131627056672761,3.8401253918495297,15.703839122486288
mlp,0.95,0.4,0.7919163435553989,0.8567094088735274,0.7552283739991064,0.8185264838327053,15,1.1755485893416928,321,5.868372943327239,3.8401253918495297,21.553930530164532
mlp,0.95,0.45,0.7912113735166255,0.8564598218592344,0.7549235118597815,0.8182622015881903,15,1.1755485893416928,323,5.904936014625228,3.8401253918495297,21.517367458866545
mlp,0.95,0.5,0.79038890847139,0.8551705882170596,0.7542143271840012,0.8179555349562154,15,1.1755485893416928,326,5.959780621572213,3.8401253918495297,21.46252285191956
mlp,0.95,0.55,0.7892139584067677,0.8534468217874108,0.7531115455233275,0.817455799440626,15,1.1755485893416928,328,5.996343692870202,3.8401253918495297,21.42595978062157
mlp,0.95,0.6,0.7892139584067677,0.8540663003480659,0.7536167656206063,0.8176474108337659,15,1.1755485893416928,329,6.014625228519196,3.8401253918495297,21.407678244972576
mlp,0.95,0.65,0.787804018329221,0.8525346620517217,0.752466423708126,0.81704888541536,15,1.1755485893416928,330,6.032906764168191,3.8401253918495297,21.389396709323584
mlp,0.95,0.7,0.7866290682645988,0.8506044027685212,0.7511833270460677,0.8164505804880141,15,1.1755485893416928,332,6.06946983546618,3.8401253918495297,21.352833638025594
