model,red_threshold,green_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb_final,0.6,0.975,0.8826224885442369,0.935678767538732,0.8910871274744635,0.8896635406653078,1,0.07836990595611285,5,0.09140767824497258,1.018808777429467,17.824497257769654
hgb_final,0.65,0.975,0.8825049935377747,0.9354175345188783,0.89089742191115,0.8895682890314355,1,0.07836990595611285,5,0.09140767824497258,1.09717868338558,17.824497257769654
hgb_final,0.7,0.975,0.8823874985313124,0.9351563014990246,0.8907076379199387,0.8894730065205838,1,0.07836990595611285,5,0.09140767824497258,1.1755485893416928,17.824497257769654
hgb_final,0.2,0.98,0.8695805428269299,0.9301163667547465,0.8807620612764181,0.8775770577077869,1,0.07836990595611285,12,0.21937842778793418,0.54858934169279,19.83546617915905
hgb_final,0.25,0.98,0.8694630478204677,0.9298551337348928,0.8807243382530902,0.8775316470120371,1,0.07836990595611285,10,0.18281535648994515,0.6269592476489028,19.87202925045704
hgb_final,0.3,0.98,0.8694630478204677,0.9298551337348928,0.880873630202097,0.8775798520453816,1,0.07836990595611285,8,0.14625228519195613,0.6269592476489028,19.908592321755027
hgb_final,0.35,0.98,0.8694630478204677,0.9298551337348928,0.8809484642371456,0.8776040452922657,1,0.07836990595611285,7,0.12797074954296161,0.6269592476489028,19.926873857404022
hgb_final,0.4,0.98,0.8693455528140054,0.9295939007150391,0.8807619858762065,0.8775107119254384,1,0.07836990595611285,7,0.12797074954296161,0.7053291536050157,19.926873857404022
hgb_final,0.45,0.98,0.8693455528140054,0.9295939007150391,0.8809120767162039,0.8775593090273037,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,19.96343692870201
hgb_final,0.5,0.98,0.8693455528140054,0.9295939007150391,0.8809120767162039,0.8775593090273037,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,19.96343692870201
hgb_final,0.55,0.98,0.8689930677946187,0.9288102016554779,0.8803523017139425,0.8772792050846111,1,0.07836990595611285,5,0.09140767824497258,0.9404388714733543,19.96343692870201
hgb_final,0.6,0.98,0.8688755727881565,0.9285489686356242,0.8801655501543598,0.8771857733482538,1,0.07836990595611285,5,0.09140767824497258,1.018808777429467,19.96343692870201
hgb_final,0.65,0.98,0.8687580777816942,0.9282877356157705,0.8799787184194156,0.8770923096266379,1,0.07836990595611285,5,0.09140767824497258,1.09717868338558,19.96343692870201
hgb_final,0.7,0.98,0.868640582775232,0.9280265025959168,0.8797918063712725,0.876998813855129,1,0.07836990595611285,5,0.09140767824497258,1.1755485893416928,19.96343692870201
hgb_final,0.2,0.985,0.8476089766184937,0.9188487951606966,0.8637235134888211,0.8575957366052307,1,0.07836990595611285,12,0.21937842778793418,0.54858934169279,23.27239488117002
hgb_final,0.25,0.985,0.8474914816120315,0.9185875621408429,0.8636984240593785,0.8575581857237944,1,0.07836990595611285,10,0.18281535648994515,0.6269592476489028,23.308957952468006
hgb_final,0.3,0.985,0.8474914816120315,0.9185875621408429,0.8638561249756687,0.8576116222789065,1,0.07836990595611285,8,0.14625228519195613,0.6269592476489028,23.345521023765997
hgb_final,0.35,0.985,0.8474914816120315,0.9185875621408429,0.8639351594726099,0.8576384287845993,1,0.07836990595611285,7,0.12797074954296161,0.6269592476489028,23.36380255941499
hgb_final,0.4,0.985,0.8473739866055693,0.9183263291209892,0.8637528788954333,0.8575477070104196,1,0.07836990595611285,7,0.12797074954296161,0.7053291536050157,23.36380255941499
hgb_final,0.45,0.985,0.8473739866055693,0.9183263291209892,0.8639113572776581,0.857601522304753,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,23.40036563071298
hgb_final,0.5,0.985,0.8473739866055693,0.9183263291209892,0.8639113572776581,0.857601522304753,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,23.40036563071298
hgb_final,0.55,0.985,0.8470215015861826,0.9175426300614281,0.8633641435595285,0.8573292331898688,1,0.07836990595611285,5,0.09140767824497258,0.9404388714733543,23.40036563071298
hgb_final,0.6,0.985,0.8469040065797203,0.9172813970415744,0.8631815737625931,0.8572384030788452,1,0.07836990595611285,5,0.09140767824497258,1.018808777429467,23.40036563071298
hgb_final,0.65,0.985,0.8467865115732581,0.9170201640217207,0.8629989211280321,0.8571475393262727,1,0.07836990595611285,5,0.09140767824497258,1.09717868338558,23.40036563071298
hgb_final,0.7,0.985,0.8466690165667959,0.916758931001867,0.8628161855202651,0.8570566418689209,1,0.07836990595611285,5,0.09140767824497258,1.1755485893416928,23.40036563071298
hgb_final,0.2,0.99,0.8140054047702973,0.9016762357629688,0.8385316298190135,0.8268361411810963,1,0.07836990595611285,12,0.21937842778793418,0.54858934169279,28.537477148080438
